ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-4296434224,Daimler Benz International Finance BV,11%,Possible,1,119,,,daimler intl finance,,,,,,
OK,https://permid.org/1-4295867387,Danone SA,92%,Excellent,1,120,,,danone,,,,,,
OK,https://permid.org/1-5035936753,Dassault Systemes SolidWorks Corp,92%,Excellent,1,121,,,dassault systeme,,,,,,
OK,,,,No Match,,122,,,delhaize group,,,,,,
OK,,,,No Match,,123,,,delhaize group,,,,,,
OK,,,,No Match,,124,,,delta lloyd,,,,,,
OK,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,1,125,,,deutsche bahn finance,,,,,,
OK,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,1,126,,,deutsche bahn finance,,,,,,
OK,https://permid.org/1-5000775305,Deutsche Boerse Services sro,71%,Good,1,127,,,deutsche borse,,,,,,
OK,https://permid.org/1-4295868979,Deutsche Lufthansa AG,66%,Good,1,128,,,deutsche lufthansa,,,,,,
OK,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,1,129,,,deutsche post,,,,,,
OK,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,1,130,,,deutsche post finance,,,,,,
OK,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,1,131,,,deutsche telekom,,,,,,
OK,https://permid.org/1-4296543170,Deutsche Telekom International Finance BV,70%,Good,1,132,,,deutsche telekom intl fin,,,,,,
OK,https://permid.org/1-5062386053,Deutsche Wohnen SE,92%,Excellent,1,133,,,deutsche wohnen,,,,,,
OK,https://permid.org/1-4296543161,Diageo Capital PLC,92%,Excellent,1,134,,,diageo capital,,,,,,
OK,https://permid.org/1-5071570642,Digital Dutch Finco BV,67%,Good,1,135,,,digital dutch finco,,,,,,
OK,https://permid.org/1-5073639223,Digital Intrepid Holding BV,64%,Good,1,136,,,digital intrepid holding,,,,,,
OK,,,,No Match,,137,,,distribuidora intl de alim,,,,,,
OK,,,,No Match,,138,,,dna,,,,,,
OK,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69%,Good,1,139,,,dsv panalpina finance,,,,,,
OK,,,,No Match,,140,,,eandi,,,,,,
OK,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,1,141,,,eandis,,,,,,
OK,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,1,142,,,easyjet finco,,,,,,
OK,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,1,143,,,eaton capital unlimited co,,,,,,
OK,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,1,144,,,edenred,,,,,,
OK,https://permid.org/1-4295903910,Edison International,23%,Possible,1,145,,,edison,,,,,,
OK,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,1,146,,,edp energias de portugal,,,,,,
OK,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,1,147,,,edp finance,,,,,,
OK,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,1,148,,,eesti energia,,,,,,
OK,,,,No Match,,149,,,el corte ingle,,,,,,
OK,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,1,150,,,electricite de france edf,,,,,,
OK,https://permid.org/1-4298221301,Elering AS,92%,Excellent,1,151,,,elering,,,,,,
OK,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,1,152,,,elia group,,,,,,
OK,https://permid.org/1-4297577357,Elia,92%,Excellent,1,153,,,elia system operator,,,,,,
OK,https://permid.org/1-4297577357,Elia,92%,Excellent,1,154,,,elia system operator,,,,,,
OK,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,1,155,,,elia transmission belgium,,,,,,
OK,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,1,156,,,elisa,,,,,,
OK,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80%,Good,1,157,,,enagas financiaciones,,,,,,
OK,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,1,158,,,enbw international finance,,,,,,
OK,https://permid.org/1-5001426741,ENEL Finance International NV,69%,Good,1,159,,,enel finance intl,,,,,,
OK,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,1,160,,,enel,,,,,,
OK,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,1,161,,,energie ag oberosterreich,,,,,,
OK,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,1,162,,,enexis holding,,,,,,
