ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-5000898880,Brussels Airport Company SA,42%,Possible,1,81,,,brussels airport company sanv,,,,,,
OK,https://permid.org/1-5000214282,Bunge Finance Europe BV,92%,Excellent,1,82,,,bunge finance europe bv,,,,,,
OK,,,,No Match,,83,,,buzzi unicem spa casale monferrato,,,,,,
OK,https://permid.org/1-4295858951,CA Immobilien Anlagen AG,92%,Excellent,1,84,,,ca immobilien anlagen ag,,,,,,
OK,https://permid.org/1-4297695613,Sogeti SAS,92%,Excellent,1,85,,,cap gemini,,,,,,
OK,https://permid.org/1-4297628655,Carmila SA,55%,Possible,1,86,,,carmila,,,,,,
OK,https://permid.org/1-4295866751,Carrefour SA,92%,Excellent,1,87,,,carrefour sa,,,,,,
OK,https://permid.org/1-4295900593,Caterpillar Financial Services Corp,43%,Possible,1,88,,,caterpillar intl finance ltd,,,,,,
OK,https://permid.org/1-5036393029,Ceetrus SA,92%,Excellent,1,89,,,ceetrus sa,,,,,,
OK,,,,No Match,,90,,,cellnex finance company sau madrid,,,,,,
OK,https://permid.org/1-5043416261,Cellnex Telecom SA,92%,Excellent,1,91,,,cellnex telecom sa,,,,,,
OK,,,,No Match,,92,,,cepsa finance saflds,,,,,,
OK,,,,No Match,,93,,,ciba spc chem fin lxbg sa,,,,,,
OK,https://permid.org/1-4295866323,Citycon Oyj,92%,Excellent,1,94,,,citycon oyj,,,,,,
OK,https://permid.org/1-5044006655,Citycon Treasury BV,92%,Excellent,1,95,,,citycon treasury bv,,,,,,
OK,,,,No Match,,96,,,ck hutchison grp telefin sa,,,,,,
OK,,,,No Match,,97,,,cnh industrial finance eurosa,,,,,,
OK,https://permid.org/1-4296869348,Coca Cola HBC Finance BV,92%,Excellent,1,98,,,coca cola hbc finance bv,,,,,,
OK,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92%,Excellent,1,99,,,coentreprise de transport delectricite,,,,,,
OK,https://permid.org/1-4296918546,Cofinimmo Lease Finance SA,36%,Possible,1,100,,,cofinimmo nv,,,,,,
OK,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,1,101,,,cofinimmo sanv,,,,,,
OK,,,,No Match,,102,,,compagnie de saintgobain sa,,,,,,
OK,,,,No Match,,103,,,compagnie fin ind autoroutes,,,,,,
OK,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,22%,Possible,1,104,,,compagnie generale des etablissements michelin clermontferrand,,,,,,
OK,,,,No Match,,105,,,compass group finance netherlands bv amsterdam,,,,,,
OK,https://permid.org/1-5068304965,Compass Group International 10 BV,59%,Possible,1,106,,,compass group international bv,,,,,,
OK,,,,No Match,,107,,,contigummi finance bv amsterdam,,,,,,
OK,https://permid.org/1-4295869236,Continental AG,92%,Excellent,1,108,,,continental ag,,,,,,
OK,https://permid.org/1-4295966650,Corporacion de Reservas Estrategicas de Productos Petroliferos,92%,Excellent,1,109,,,corporacion de reservas estrategicas de productos petroliferos,,,,,,
OK,https://permid.org/1-5046707555,Covestro AG,92%,Excellent,1,110,,,covestro ag,,,,,,
OK,,,,No Match,,111,,,covivio hotels saca paris,,,,,,
OK,https://permid.org/1-4295867087,Covivio SA,92%,Excellent,1,112,,,covivio sa,,,,,,
OK,https://permid.org/1-4295886858,CP Comboios de Portugal EPE,92%,Excellent,1,113,,,cp comboios de portugal epe,,,,,,
OK,https://permid.org/1-5000002458,CPI Property Group SA,92%,Excellent,1,114,,,cpi property group sa,,,,,,
OK,https://permid.org/1-5052139913,CRH Finance DAC,92%,Excellent,1,115,,,crh finance dac,,,,,,
OK,https://permid.org/1-5040186325,CRH Finland Services Oyj,92%,Excellent,1,116,,,crh finland services oyj,,,,,,
OK,https://permid.org/1-5040185854,CRH Funding BV,92%,Excellent,1,117,,,crh funding bv,,,,,,
OK,https://permid.org/1-5074210015,CRH SMW Finance DAC,92%,Excellent,1,118,,,crh smw finance dac,,,,,,
OK,https://permid.org/1-5039933317,CTP Holding BV,32%,Possible,1,119,,,ctp bv,,,,,,
OK,https://permid.org/1-5068928626,Czech Gas Networks Investments SARL,92%,Excellent,1,120,,,czech gas networks investments sarl,,,,,,
OK,https://permid.org/1-4296837653,Daa Finance PLC,92%,Excellent,1,121,,,daa finance plc,,,,,,
OK,https://permid.org/1-4295869694,Daimler AG,92%,Excellent,1,122,,,daimler ag,,,,,,
OK,https://permid.org/1-4296434224,Daimler Benz International Finance BV,41%,Possible,1,123,,,daimler intl finance bv,,,,,,
OK,https://permid.org/1-4295867387,Danone SA,92%,Excellent,1,124,,,danone,,,,,,
OK,https://permid.org/1-4295867357,Dassault Systemes SE,92%,Excellent,1,125,,,dassault systemes,,,,,,
OK,,,,No Match,,126,,,delhaize group,,,,,,
OK,,,,No Match,,127,,,delhaize group sa,,,,,,
OK,https://permid.org/1-4297753012,Banque Nagelmackers NV,67%,Good,1,128,,,delta lloyd nv,,,,,,
OK,https://permid.org/1-4296558761,Deutsche Bahn Finance BV,92%,Excellent,1,129,,,deutsche bahn finance bv,,,,,,
OK,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92%,Excellent,1,130,,,deutsche bahn finance gmbh,,,,,,
OK,https://permid.org/1-4296690429,Deutsche Boerse Systems AG,65%,Good,1,131,,,deutsche borse ag,,,,,,
OK,https://permid.org/1-4295868979,Deutsche Lufthansa AG,92%,Excellent,1,132,,,deutsche lufthansa ag,,,,,,
OK,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,1,133,,,deutsche post ag,,,,,,
OK,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,1,134,,,deutsche post finance bv,,,,,,
OK,https://permid.org/1-4295870332,Deutsche Telekom AG,26%,Possible,1,135,,,deutsche telekom ag bonn,,,,,,
OK,,,,No Match,,136,,,deutsche telekom intl finbv,,,,,,
OK,,,,No Match,,137,,,deutsche wohnen ag,,,,,,
OK,https://permid.org/1-5076372727,Diageo Capital BV,92%,Excellent,1,138,,,diageo capital bv,,,,,,
OK,https://permid.org/1-5071570642,Digital Dutch Finco BV,92%,Excellent,1,139,,,digital dutch finco bv,,,,,,
OK,https://permid.org/1-5073639223,Digital Intrepid Holding BV,92%,Excellent,1,140,,,digital intrepid holding bv,,,,,,
OK,,,,No Match,,141,,,distribuidora intl de alimsa,,,,,,
