Sentence ID,Company Name,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
43,amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
44,amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,Includes bank holding companies.
45,amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Excludes providers of investment banking services, classified in Investment Banking."
46,amadeus it group sa,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,amadeus it group,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,True,Software & IT Services,Software & IT Services,Technology,Spain,Spain,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services."
47,amphenol technologies holding gmbh,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,92%,Excellent,amphenol technologies holding,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,67%,Good,True,Electronic Equipment & Parts,Technology Equipment,Technology,Germany,Germany,"Manufacturers of electronic products, such as biometric products, electronic components and parts and display screens."
48,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
49,anheuser busch inbev nv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,84%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
50,anheuser busch inbev nvsa,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,67%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
51,anheuser busch inbev sanv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,68%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
52,apetra nv,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,apetra,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,True,Oil & Gas,Energy - Fossil Fuels,Energy,Belgium,Belgium,"Producers, refiners and transporters of raw and refined oil and gas products."
53,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
54,aprr sa,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
55,arcelormittal sa,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,arcelormittal,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,True,Metals & Mining,Mineral Resources,Basic Materials,Luxembourg,Luxembourg,"Miners and processors of precious metals & minerals, steel, aluminum and specialty metals and minerals."
56,arcelormittal sa,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,arcelormittal,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,True,Metals & Mining,Mineral Resources,Basic Materials,Luxembourg,Luxembourg,"Includes integrated mining, and mining support services & equipment companies."
57,arkema sa,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,arkema,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,France,France,"Producers and refiners of agricultural, commodity and specialty chemicals."
58,aroundtown sa,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,aroundtown,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Luxembourg,Luxembourg,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
59,aroundtown sa,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,aroundtown,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Luxembourg,Luxembourg,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
60,asml holding nv,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,asml holding,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,True,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,Netherlands,Netherlands,"Designers and manufacturers of semiconductors, as well as producers of testing and manufacturing equipment for semiconductor manufacturers."
61,assicurazioni generali spa,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,assicurazioni generali,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,True,Insurance,Insurance,Financials,Italy,Italy,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
62,atf netherlands bv,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,atf netherlands,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Netherlands,Netherlands,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
63,atlantia spa,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,atlantia,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
64,atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22%,Possible,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
65,atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22%,Possible,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,Includes bank holding companies.
66,atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22%,Possible,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Excludes providers of investment banking services, classified in Investment Banking."
67,atos se,https://permid.org/1-4295867015,Atos SE,92%,Excellent,atos,https://permid.org/1-4295867015,Atos SE,92%,Excellent,True,Software & IT Services,Software & IT Services,Technology,France,France,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services."
68,auchan holding sa,,,,No Match,auchan holding,https://permid.org/1-5024332092,Auchan II Holding UK Ltd,13%,Possible,False,0,0,0,0,0,0
69,autoroutes du sud de la france,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,autoroutes du sud de la france,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,True,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
70,autostr bresvervicpad spa,,,,No Match,autostr bresvervicpad,,,,No Match,False,0,0,0,0,0,0
71,autostrada brescia verona vicenza padova spa,https://permid.org/1-4296668015,A4 Holding SpA,92%,Excellent,autostrada brescia verona vicenza padova,https://permid.org/1-4296668015,A4 Holding SpA,82%,Good,True,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
72,autostrade per l italia spa,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,17%,Possible,autostrade per l italia,,,,No Match,False,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
