Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName
akelius residential property finance bv,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),19%,Possible,akelius residential property finance,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),24%,Possible,True
akzo nobel nv,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,akzo nobel,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,True
albemarle new holding gmbh,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,albemarle new holding,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,True
alliander nv,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,alliander,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,True
allianz finance ii bv,https://permid.org/1-4296777983,Allianz Finance II BV,92%,Excellent,allianz finance ii,https://permid.org/1-5043447638,Allianz Finance II Luxembourg SA,54%,Possible,False
alstom sa,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,alstom,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,True
alstria office reit ag,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,alstria office reit,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,True
altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,True
altareit sca,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,altareit,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,True
amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,True
amadeus it group sa,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,amadeus it group,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,True
amphenol technologies holding gmbh,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,92%,Excellent,amphenol technologies holding,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,67%,Good,True
anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
anheuser busch inbev nv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,84%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
anheuser busch inbev nvsa,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,67%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
anheuser busch inbev sanv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,68%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
apetra nv,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,apetra,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,True
aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True
aprr sa,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True
arcelormittal sa,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,arcelormittal,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,True
arkema sa,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,arkema,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,True
aroundtown sa,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,aroundtown,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,True
asml holding nv,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,asml holding,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,True
assicurazioni generali spa,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,assicurazioni generali,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,True
atf netherlands bv,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,atf netherlands,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,True
atlantia spa,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,atlantia,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,True
atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22%,Possible,False
