Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
heidelbergcement finlux sa,,,,No Match,heidelbergcement finlux,,,,No Match,FALSE,Banking Services,Banking and Investment Services ,Financials,Luxembourg ,Luxembourg,551010,"HeidelbergCement is one of the world's largest manufacturers of building materials and has been contributing to progress for 150 years. Our products are used in the construction of houses, traffic routes, commercial and industrial facilities. At the center of actions lies the responsibility for the environment. We are pioneers on the road to carbon neutrality and have set ourselves the goal of producing climate-neutral concrete by 2050. Together with our customers and partners, we drive innovation and work on building material for the future. So that the world can always build on us.The core activities of HeidelbergCement include the production and distribution of cement and aggregates, the two essential raw materials for concrete. Our downstream activities include mainly the production of ready-mixed concrete, but also of asphalt and other building products. Click on the pictures to learn more about the respective area."
hella kgaa hueck,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92.00%,Excellent,hella kgaa hueck,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92.00%,Excellent,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"HELLA GmbH & Co KgaA, formerly Hella KGaA Hueck & Co, is a Germany-based manufacturer of lighting technology and electronic components and systems for the automotive industry. The Company operates through three segments: Automotive, Aftermarket and Special Applications. The Automotive segments comprises the lighting and electronics business and provides headlamps, signal lamps, interior lamps and lighting electronics, as well as body electronics, energy management and driver assistance systems and components. The Aftermarket segment comprises trade in automotive parts and accessories, calibration and diagnostic services for garages, and the wholesale business. The Special Applications segment comprises original equipment for special-purpose vehicles, such as busses, caravans, agricultural and construction machinery, municipal vehicles and trailers.As an innovative family business, we are committed to manage resources responsibly. Ensuring Sustainability is one of the HELLA corporate values. It formulates the expectation for each one of our employees to contribute to the protection of the environment. For us, environmental protection is more than just compliance with legal regulations; it is an integral part of our corporate culture and a key responsibility in line with our operational management. We therefore strive to continuously optimize our products, technologies and processes to increase our environmental performance. HELLA products enable sustainable, safe and efficient mobility. Our products and technologies prove this every day. Through environmentally friendly design, we ensure that energy efficiency, recycling requirements and material restrictions are considered in the product development process. HELLA has a broad range of product solutions which contribute to making traffic safer, more efficient and with lower emissions. For example, HELLA products support the electrification of drives and CO2 savings across all stages. Intelligent battery sensors enable start-stop functions, for example, while HELLA battery management systems ensure the safe and reliable functioning of lithium-ion batteries for hybrid and electric vehicles. By offering high-performance assistance systems and components, HELLA contributes to increasing safety in road traffic. High-resolution LED headlights, for example, enable safety functions such as the advanced glare-free high beam or light-based lane markings. HELLA actively contributes to environmental protection not only through innovative product solutions, but above all by maintaining high environmental standards in development and production. These standards are precisely defined in guidelines and certification specifications and apply to our locations worldwide. In this context, all HELLA production sites are certified according to the ISO 14001 environmental management system. In addition, we strive to continuously exploit new potential for environmental protection."
hella kgaa hueck  co,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80.00%,Good,hella kgaa hueck  co,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80.00%,Good,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"HELLA GmbH & Co KgaA, formerly Hella KGaA Hueck & Co, is a Germany-based manufacturer of lighting technology and electronic components and systems for the automotive industry. The Company operates through three segments: Automotive, Aftermarket and Special Applications. The Automotive segments comprises the lighting and electronics business and provides headlamps, signal lamps, interior lamps and lighting electronics, as well as body electronics, energy management and driver assistance systems and components. The Aftermarket segment comprises trade in automotive parts and accessories, calibration and diagnostic services for garages, and the wholesale business. The Special Applications segment comprises original equipment for special-purpose vehicles, such as busses, caravans, agricultural and construction machinery, municipal vehicles and trailers.As an innovative family business, we are committed to manage resources responsibly. Ensuring Sustainability is one of the HELLA corporate values. It formulates the expectation for each one of our employees to contribute to the protection of the environment. For us, environmental protection is more than just compliance with legal regulations; it is an integral part of our corporate culture and a key responsibility in line with our operational management. We therefore strive to continuously optimize our products, technologies and processes to increase our environmental performance. HELLA products enable sustainable, safe and efficient mobility. Our products and technologies prove this every day. Through environmentally friendly design, we ensure that energy efficiency, recycling requirements and material restrictions are considered in the product development process. HELLA has a broad range of product solutions which contribute to making traffic safer, more efficient and with lower emissions. For example, HELLA products support the electrification of drives and CO2 savings across all stages. Intelligent battery sensors enable start-stop functions, for example, while HELLA battery management systems ensure the safe and reliable functioning of lithium-ion batteries for hybrid and electric vehicles. By offering high-performance assistance systems and components, HELLA contributes to increasing safety in road traffic. High-resolution LED headlights, for example, enable safety functions such as the advanced glare-free high beam or light-based lane markings. HELLA actively contributes to environmental protection not only through innovative product solutions, but above all by maintaining high environmental standards in development and production. These standards are precisely defined in guidelines and certification specifications and apply to our locations worldwide. In this context, all HELLA production sites are certified according to the ISO 14001 environmental management system. In addition, we strive to continuously exploit new potential for environmental protection."
hm finance bv,,,,No Match,hm finance,https://permid.org/1-5074659578,H M Finance,92.00%,Excellent,FALSE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Green Bond by trying to introduce circular economy. By the means H & M Hennes & Mauritz AB (publ) provides clothing, accessories, footwear, cosmetics, home textiles, and homeware for women, men, teenagers, children, and babies worldwide. It offers sportswear, shoes, bags, beauty products, stationery, and ready-to-wear; and interior products, including bed linens, dinnerware, textiles, furniture, and lamps."
holcim finance luxembg sa,,,,No Match,holcim finance luxembg,,,,No Match,FALSE,Investment Banking & Investment Services,Banking & Investment Services,Financials,Luxembourg ,Luxembourg,551020,"provides investment for LafargeHolcim Ltd operates as a building materials and solutions company in the Asia Pacific, Europe, Latin America, the Middle East, Africa, North America, and internationally. It operates through four segments: Cement, Aggregates, Ready-mix Concrete, and Solutions & Products. The company offers cement, hydraulic binders, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast concrete products, asphalts, and mortars. In addition, it engages in the provision of contracting and other services; and retail activities, as well as waste management services. Its products are used in infrastructure projects, such as roads, mines, ports, dams, data centers, stadiums, wind farms, and electric power plants; building projects comprising individual housing, collective housing, office buildings, industrial and commercial buildings, and public buildings; and affordable housing. The company was formerly known as Holcim Ltd. and changed its name to LafargeHolcim Ltd in July 2015. LafargeHolcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland."
holcim usfinsarl  cie scs,,,,No Match,holcim usfinsarl  cie,,,,No Match,FALSE,investment holding companies ,investment holding companies ,Financials,Luxembourg ,Luxembourg ,556010,"provides investment for LafargeHolcim Ltd operates as a building materials and solutions company in the Asia Pacific, Europe, Latin America, the Middle East, Africa, North America, and internationally. It operates through four segments: Cement, Aggregates, Ready-mix Concrete, and Solutions & Products. The company offers cement, hydraulic binders, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast concrete products, asphalts, and mortars. In addition, it engages in the provision of contracting and other services; and retail activities, as well as waste management services. Its products are used in infrastructure projects, such as roads, mines, ports, dams, data centers, stadiums, wind farms, and electric power plants; building projects comprising individual housing, collective housing, office buildings, industrial and commercial buildings, and public buildings; and affordable housing. The company was formerly known as Holcim Ltd. and changed its name to LafargeHolcim Ltd in July 2015. LafargeHolcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland."
holcim usfinsarl scs,,,,No Match,holcim usfinsarl,,,,No Match,FALSE,investment holding companies ,investment holding companies ,Financials,Luxembourg ,Luxembourg ,556010,"provides investment for LafargeHolcim Ltd operates as a building materials and solutions company in the Asia Pacific, Europe, Latin America, the Middle East, Africa, North America, and internationally. It operates through four segments: Cement, Aggregates, Ready-mix Concrete, and Solutions & Products. The company offers cement, hydraulic binders, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast concrete products, asphalts, and mortars. In addition, it engages in the provision of contracting and other services; and retail activities, as well as waste management services. Its products are used in infrastructure projects, such as roads, mines, ports, dams, data centers, stadiums, wind farms, and electric power plants; building projects comprising individual housing, collective housing, office buildings, industrial and commercial buildings, and public buildings; and affordable housing. The company was formerly known as Holcim Ltd. and changed its name to LafargeHolcim Ltd in July 2015. LafargeHolcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland."
holding d infrastructures de transport,,,,No Match,holding d infrastructures de transport,,,,No Match,FALSE,investment holding companies ,investment holding companies ,Financials,France,France,556010,"Abertis is the international market company in the management of toll roads. As one of the largest global groups in road transport infrastructure management, Abertis plays an essential role in the economic and sustainable development of the territories in which it operates. For this reason, our commitment to society is oriented towards long-term investment in high-quality infrastructures, through the promotion of sustainability. We work to be a key player in the financing and sustainable management of the infrastructures of the future. We act to reduce the carbon footprint, mitigate climate change, minimize the environmental impact of our activity and promote the circular economy. We also apply preventive measures to preserve the environment and reduce pollution, creating a more efficient, responsible and sustainable exploitation model. Our sustainable development strategy is based on four priority and relevant aspects for the Abertis Group: Good governance, transparency and accountability: the development of an organizational culture based on ethical principles, the rejection of all forms of corruption and the progressive inclusion of good governance practices. Eco-efficiency: the reduction of the carbon footprint, the development of products and services with positive environmental and social criteria and innovation based on circular economy criteria. Integration in the environment: the generation of positive synergies with the local community and the empowerment and conservation of natural capital.
Safety and quality: guaranteeing road safety and occupational health and safety, enhancing job quality, ensuring equal opportunities and developing quality products and services that generate positive environmental, social and good governance impacts."
holding d infrastructures de transport sas,,,,No Match,holding d infrastructures de transport,,,,No Match,FALSE,investment holding companies ,investment holding companies ,Financials,France,France,556010,"Abertis is the international market company in the management of toll roads. As one of the largest global groups in road transport infrastructure management, Abertis plays an essential role in the economic and sustainable development of the territories in which it operates. For this reason, our commitment to society is oriented towards long-term investment in high-quality infrastructures, through the promotion of sustainability. We work to be a key player in the financing and sustainable management of the infrastructures of the future. We act to reduce the carbon footprint, mitigate climate change, minimize the environmental impact of our activity and promote the circular economy. We also apply preventive measures to preserve the environment and reduce pollution, creating a more efficient, responsible and sustainable exploitation model. Our sustainable development strategy is based on four priority and relevant aspects for the Abertis Group: Good governance, transparency and accountability: the development of an organizational culture based on ethical principles, the rejection of all forms of corruption and the progressive inclusion of good governance practices. Eco-efficiency: the reduction of the carbon footprint, the development of products and services with positive environmental and social criteria and innovation based on circular economy criteria.
Integration in the environment: the generation of positive synergies with the local community and the empowerment and conservation of natural capital. Safety and quality: guaranteeing road safety and occupational health and safety, enhancing job quality, ensuring equal opportunities and developing quality products and services that generate positive environmental, social and good governance impacts."
holding dinfrastr de transp,,,,No Match,holding dinfrastr de tran,,,,No Match,FALSE,investment holding companies ,investment holding companies ,Financials,France,France,556010,"Abertis is the international market company in the management of toll roads. As one of the largest global groups in road transport infrastructure management, Abertis plays an essential role in the economic and sustainable development of the territories in which it operates. For this reason, our commitment to society is oriented towards long-term investment in high-quality infrastructures, through the promotion of sustainability. We work to be a key player in the financing and sustainable management of the infrastructures of the future. We act to reduce the carbon footprint, mitigate climate change, minimize the environmental impact of our activity and promote the circular economy. We also apply preventive measures to preserve the environment and reduce pollution, creating a more efficient, responsible and sustainable exploitation model. Our sustainable development strategy is based on four priority and relevant aspects for the Abertis Group: Good governance, transparency and accountability: the development of an organizational culture based on ethical principles, the rejection of all forms of corruption and the progressive inclusion of good governance practices.
Eco-efficiency: the reduction of the carbon footprint, the development of products and services with positive environmental and social criteria and innovation based on circular economy criteria.
Integration in the environment: the generation of positive synergies with the local community and the empowerment and conservation of natural capital. Safety and quality: guaranteeing road safety and occupational health and safety, enhancing job quality, ensuring equal opportunities and developing quality products and services that generate positive environmental, social and good governance impacts."
